Equipment,Failure Scenario,Failure Classification,ATS Alarm Description,FSCADA Alarm Description,HMI Alarm,Guidelines for the Chief Controller,Local Response
Brake,Parking Brakes not serviceable (Unable to apply in more than 2 bogies),Minor,None,None,Parking Brake does not Applied,"•Train Entering service: Not allowed to enter service
• Train already in service: Exit at Terminus station",None
Brake,Brake Yellow alarm maximum on 3 bogies,Minor,Brake(s) Faulty,None,EP brake applied with warning / EP brake release with warning,"• Train Entering service: Not allowed to enter service
•Train already in service: Exit at Terminus station",None
Brake,Brake Yellow alarm more than 4 bogies,Minor,Brake(s) Faulty,None,EP brake applied with warning /  EP brake release with warning,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus station",None
Suspension System,Failure of Primary or Secondary Suspension,Major,None,None,Brake system minor fault,"• Train Entering service: Not allowed to enter service
•Train already in service: Immediate Train Withdrawal from service.",Disembark passenger
Suspension System,Pressure of Secondary Suspension Out of Range,Major,Pressure of secondary suspension out of range,None,Brake system minor fault,"• Train Entering service: Not allowed to enter service
•Train already in service: Exit at Terminus station",TO onboard until terminus station
Train Doors,One door fails to open or close per car side,Minor,Door(s) Faulty,Door No# failure,Door is faulty,"• Train Entering service: Not allowed to enter service
• Train already in service: Isolate the failed door (in closed position) before continuing Train service",TO to isolate faulty door
Train Doors,Two doors fails to open or close per car side,Minor,Door isolations (Two doors per train side are locked-out),Door No# failure,Door is faulty,"• Train Entering service: Not allowed to enter service
•Train already in service: Isolate the failed doors (in closed positions) and withdraw the Train from service at the End of the round Trip",TO to isolate faulty door
Train Doors,More than two doors fails to open or close per car side,Major,Door(s) Faulty,None,Door is faulty,"• Train Entering service: Not allowed to enter service
•Train already in service: Immediate Train Withdrawal from service. (subject to CC decision)",TO onboard to assist passenger
Train Doors,All door fails to open or close per car,Major,Train Door Failed to Open / Train Doors Failed to Closed,None,Door is faulty,"• Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service.",Disembark passenger
Train Doors,Failure/Loss of Train Door Closed and Locked Indication,Major,None,None,Door loop status is open,"•Train Entering service: Not allowed to enter service.
•Train already in service: Immediate Train Withdrawal from service.","i. Qualify train driver Isolate failure door
ii. TO to execute Door loop bypass 
iii. Disembark passenger"
